OrderID,OrderDate,CustomerID,ProductID,Quantity,DeliveryCounty,UnitPrice (KES),OrderTotal (KES),DeliveryFee (KES)
ORD00031,2022-07-09,C02735,P003,2,Kakamega,32000,64000,330
ORD00032,2024-02-18,C03006,P007,3,Nakuru,4500,13500,220
ORD00033,2022-07-18,C04659,P006,4,Mombasa,2800,11200,380
ORD00034,2024-01-06,C01900,P010,4,Bungoma,1200,4800,335
ORD00035,2023-12-06,C07735,P007,1,Mombasa,4500,4500,380
ORD00036,2023-06-26,C01268,P007,3,Meru,4500,13500,240
ORD00037,2022-03-30,C01529,P010,4,Kericho,1200,4800,290
ORD00038,2024-07-29,C03557,P005,1,Kakamega,2200,2200,330
ORD00039,2022-09-13,C03891,P009,2,Kisumu,3800,7600,320
ORD00040,2024-02-15,C08839,P007,3,Kiambu,4500,13500,120
ORD00041,2022-06-11,C05394,P007,1,Mombasa,4500,4500,380
ORD00042,2023-08-24,C08793,P003,3,Kisii,32000,96000,280
ORD00043,2024-01-11,C08434,P001,4,Nakuru,21500,86000,220
ORD00044,2023-01-29,C07514,P005,1,Machakos,2200,2200,150
ORD00045,2022-05-23,C02613,P008,2,Meru,6500,13000,240
ORD00046,2022-04-04,C07042,P005,2,Kericho,2200,4400,290
ORD00047,2023-04-12,C09556,P010,1,Bungoma,1200,1200,335
ORD00048,2023-08-16,C06236,P003,1,Kisumu,32000,32000,320
ORD00049,2022-06-13,C05487,P009,3,Kisumu,3800,11400,320
ORD00050,2023-04-22,C07100,P002,1,Nyeri,55000,55000,180
ORD00051,2022-07-26,C09671,P003,3,Kiambu,32000,96000,120
ORD00052,2024-02-18,C00776,P004,4,Kericho,3500,14000,290
ORD00053,2023-07-24,C08227,P010,1,Kisii,1200,1200,280
ORD00054,2024-07-17,C03153,P001,4,Nakuru,21500,86000,220
ORD00055,2024-01-18,C01586,P011,2,Kakamega,900,1800,330
ORD00056,2022-11-30,C03944,P004,3,Kisii,3500,10500,280
ORD00057,2024-01-29,C07556,P004,3,Kisii,3500,10500,280
ORD00058,2023-12-29,C03074,P009,2,Kiambu,3800,7600,120
ORD00059,2023-03-06,C01022,P008,4,Kakamega,6500,26000,330
ORD00060,2023-07-01,C03844,P002,3,Mombasa,55000,165000,380
ORD00061,2022-05-27,C07990,P007,2,Meru,4500,9000,240
ORD00062,2022-12-17,C09693,P006,2,Kisii,2800,5600,280
ORD00063,2024-12-29,C06874,P007,2,Kiambu,4500,9000,120
ORD00064,2023-05-17,C05676,P011,1,Bungoma,900,900,335
ORD00065,2022-12-01,C00162,P004,4,Kisii,3500,14000,280
ORD00066,2024-08-04,C04298,P005,2,Nairobi,2200,4400,100
ORD00067,2024-02-17,C00996,P006,4,Kakamega,2800,11200,330
ORD00068,2023-07-07,C07630,P009,3,Meru,3800,11400,240
ORD00069,2023-03-26,C09468,P002,1,Kisii,55000,55000,280
ORD00070,2023-10-27,C01017,P011,2,Kisii,900,1800,280
ORD00071,2022-04-25,C07870,P009,2,Bungoma,3800,7600,335
ORD00072,2023-04-15,C06440,P010,2,Kakamega,1200,2400,330
ORD00073,2022-03-07,C07893,P001,3,Kisumu,21500,64500,320
ORD00074,2023-10-09,C06864,P004,1,Kisumu,3500,3500,320
ORD00075,2024-04-01,C07917,P005,4,Kakamega,2200,8800,330
ORD00076,2023-07-03,C08530,P009,4,Kericho,3800,15200,290
ORD00077,2022-05-16,C00879,P006,4,Kakamega,2800,11200,330
ORD00078,2023-03-09,C09269,P004,4,Bungoma,3500,14000,335
ORD00079,2023-10-07,C04888,P002,4,Nakuru,55000,220000,220
ORD00080,2023-03-12,C04860,P005,4,Kiambu,2200,8800,120
ORD00081,2024-10-19,C06332,P008,4,Nairobi,6500,26000,100
ORD00082,2024-03-21,C08572,P008,1,Bungoma,6500,6500,335
ORD00083,2024-07-28,C08685,P006,1,Kiambu,2800,2800,120
ORD00084,2022-10-20,C07209,P011,3,Nyeri,900,2700,180
ORD00085,2023-06-27,C05277,P001,2,Nakuru,21500,43000,220
ORD00086,2022-10-13,C02063,P008,1,Kericho,6500,6500,290
ORD00087,2023-05-21,C00065,P004,2,Kisumu,3500,7000,320
ORD00088,2023-06-23,C08007,P002,3,Machakos,55000,165000,150
ORD00089,2024-05-27,C02569,P001,1,Machakos,21500,21500,150
ORD00090,2024-03-28,C05464,P007,3,Meru,4500,13500,240
ORD00091,2024-01-12,C02028,P002,1,Kiambu,55000,55000,120
ORD00092,2023-03-26,C02696,P004,1,Nairobi,3500,3500,100
ORD00093,2022-10-11,C09688,P004,4,Kakamega,3500,14000,330
ORD00094,2024-11-09,C05259,P010,2,Nairobi,1200,2400,100
ORD00095,2024-10-07,C05619,P001,3,Nyeri,21500,64500,180
ORD00096,2022-07-06,C06737,P002,4,Nairobi,55000,220000,100
ORD00097,2022-04-07,C00392,P001,1,Nakuru,21500,21500,220
ORD00098,2022-08-13,C05893,P006,1,Kericho,2800,2800,290
ORD00099,2022-11-10,C03562,P003,3,Machakos,32000,96000,150
ORD00100,2022-11-24,C06185,P001,2,Nakuru,21500,43000,220
ORD00101,2024-05-14,C03100,P008,3,Machakos,6500,19500,150
ORD00102,2022-05-11,C06279,P004,1,Nairobi,3500,3500,100
ORD00103,2024-02-28,C08393,P010,4,Kakamega,1200,4800,330
ORD00104,2024-02-21,C03105,P007,3,Bungoma,4500,13500,335
ORD00105,2024-08-16,C07216,P010,4,Kisumu,1200,4800,320
ORD00106,2024-12-19,C02455,P002,2,Kisumu,55000,110000,320
ORD00107,2023-05-30,C08997,P006,2,Mombasa,2800,5600,380
ORD00108,2022-01-24,C02732,P006,4,Nyeri,2800,11200,180
ORD00109,2022-08-23,C08155,P007,2,Nairobi,4500,9000,100
ORD00110,2023-07-01,C09763,P001,4,Kisumu,21500,86000,320
ORD00111,2023-11-28,C05057,P001,4,Machakos,21500,86000,150
ORD00112,2022-08-17,C08111,P002,4,Kericho,55000,220000,290
ORD00113,2023-08-25,C03841,P011,2,Nairobi,900,1800,100
ORD00114,2024-06-09,C01029,P002,4,Nairobi,55000,220000,100
ORD00115,2022-11-20,C07386,P005,2,Nyeri,2200,4400,180
ORD00116,2024-07-18,C00503,P001,4,Nyeri,21500,86000,180
ORD00117,2022-01-07,C06911,P011,4,Kiambu,900,3600,120
ORD00118,2023-06-24,C09063,P002,2,Kisii,55000,110000,280
ORD00119,2024-10-22,C06939,P006,4,Bungoma,2800,11200,335
ORD00120,2023-01-01,C04489,P003,4,Kisii,32000,128000,280
ORD00121,2024-11-05,C00207,P004,2,Meru,3500,7000,240
ORD00122,2022-08-06,C05135,P001,1,Machakos,21500,21500,150
ORD00123,2023-09-04,C05978,P005,3,Meru,2200,6600,240
ORD00124,2024-11-05,C07722,P004,2,Nairobi,3500,7000,100
ORD00125,2023-02-12,C07036,P008,4,Kiambu,6500,26000,120
ORD00126,2022-11-10,C01485,P003,3,Kisumu,32000,96000,320
ORD00127,2024-02-05,C07859,P010,3,Nairobi,1200,3600,100
ORD00128,2022-11-27,C00864,P001,4,Kisii,21500,86000,280
ORD00129,2024-12-22,C02791,P010,4,Nyeri,1200,4800,180
ORD00130,2022-01-02,C07409,P005,1,Mombasa,2200,2200,380
ORD00131,2023-10-26,C08756,P001,4,Kisumu,21500,86000,320
ORD00132,2024-09-27,C05117,P011,3,Kericho,900,2700,290
ORD00133,2022-02-09,C06020,P005,4,Kisumu,2200,8800,320
ORD00134,2022-08-18,C01758,P009,3,Kiambu,3800,11400,120
ORD00135,2024-01-14,C07575,P005,2,Machakos,2200,4400,150
ORD00136,2023-09-22,C06375,P002,2,Kisii,55000,110000,280
ORD00137,2023-05-06,C06893,P002,3,Nakuru,55000,165000,220
ORD00138,2022-04-29,C01679,P010,2,Machakos,1200,2400,150
ORD00139,2023-05-09,C03243,P009,1,Kiambu,3800,3800,120
ORD00140,2022-06-11,C04637,P005,3,Mombasa,2200,6600,380
ORD00141,2022-06-25,C01060,P011,3,Kakamega,900,2700,330
ORD00142,2024-09-22,C06669,P008,4,Machakos,6500,26000,150
ORD00143,2022-05-22,C09915,P010,1,Meru,1200,1200,240
ORD00144,2024-12-26,C03158,P004,4,Bungoma,3500,14000,335
ORD00145,2022-09-15,C05916,P002,1,Meru,55000,55000,240
ORD00146,2022-09-20,C09790,P004,1,Bungoma,3500,3500,335
ORD00147,2024-08-31,C02694,P011,1,Nairobi,900,900,100
ORD00148,2022-12-05,C03628,P004,3,Meru,3500,10500,240
ORD00149,2023-06-27,C09556,P011,2,Kakamega,900,1800,330
ORD00150,2024-12-16,C05451,P009,2,Kericho,3800,7600,290
ORD00151,2024-05-16,C01664,P010,4,Nairobi,1200,4800,100
ORD00152,2023-03-10,C09722,P011,4,Machakos,900,3600,150
ORD00153,2023-02-16,C05593,P006,2,Kakamega,2800,5600,330
ORD00154,2023-10-01,C07393,P010,2,Kisumu,1200,2400,320
ORD00155,2024-03-28,C01307,P006,1,Kisii,2800,2800,280
ORD00156,2024-02-04,C06777,P005,4,Kakamega,2200,8800,330
ORD00157,2024-06-16,C05865,P006,4,Kakamega,2800,11200,330
ORD00158,2024-11-25,C09475,P001,4,Machakos,21500,86000,150
ORD00159,2024-07-13,C07527,P005,4,Kiambu,2200,8800,120
ORD00160,2022-09-05,C08902,P006,2,Nyeri,2800,5600,180
ORD00161,2023-05-23,C05576,P008,2,Bungoma,6500,13000,335
ORD00162,2023-04-06,C05531,P004,3,Kisumu,3500,10500,320
ORD00163,2022-05-12,C04414,P005,3,Kericho,2200,6600,290
ORD00164,2023-11-24,C03749,P004,2,Mombasa,3500,7000,380
ORD00165,2022-02-13,C00664,P007,1,Nairobi,4500,4500,100
ORD00166,2023-04-17,C01999,P010,2,Nyeri,1200,2400,180
ORD00167,2023-03-28,C07995,P006,1,Kericho,2800,2800,290
ORD00168,2022-01-15,C01496,P004,4,Kiambu,3500,14000,120
ORD00169,2022-05-26,C03305,P006,3,Nakuru,2800,8400,220
ORD00170,2022-05-01,C03764,P004,1,Nairobi,3500,3500,100
ORD00171,2023-04-14,C05233,P008,4,Nakuru,6500,26000,220
ORD00172,2022-05-19,C01854,P011,2,Kericho,900,1800,290
ORD00173,2022-03-06,C06586,P003,3,Machakos,32000,96000,150
ORD00174,2023-11-08,C01292,P008,2,Bungoma,6500,13000,335
ORD00175,2022-05-26,C03582,P002,4,Meru,55000,220000,240
ORD00176,2024-11-18,C07555,P006,4,Meru,2800,11200,240
ORD00177,2023-05-03,C07281,P008,2,Bungoma,6500,13000,335
ORD00178,2023-07-25,C01637,P001,4,Meru,21500,86000,240
ORD00179,2024-09-21,C03697,P006,4,Nakuru,2800,11200,220
ORD00180,2023-03-15,C00699,P009,1,Nakuru,3800,3800,220
ORD00181,2022-09-28,C04738,P010,2,Kakamega,1200,2400,330
ORD00182,2024-08-26,C00855,P010,2,Kericho,1200,2400,290
ORD00183,2023-05-13,C08165,P002,3,Kisumu,55000,165000,320
ORD00184,2024-08-26,C05856,P011,1,Nyeri,900,900,180
ORD00185,2024-04-13,C07393,P001,1,Kisumu,21500,21500,320
ORD00186,2023-01-25,C06529,P002,4,Machakos,55000,220000,150
ORD00187,2022-07-13,C05250,P005,3,Nakuru,2200,6600,220
ORD00188,2022-07-18,C05173,P006,3,Kisii,2800,8400,280
ORD00189,2024-06-01,C01708,P001,1,Kericho,21500,21500,290
ORD00190,2023-12-27,C05792,P007,3,Bungoma,4500,13500,335
ORD00191,2024-05-17,C09926,P011,1,Meru,900,900,240
ORD00192,2024-04-21,C05536,P004,3,Machakos,3500,10500,150
ORD00193,2024-08-14,C04932,P009,1,Kericho,3800,3800,290
ORD00194,2022-04-21,C03511,P006,1,Kiambu,2800,2800,120
ORD00195,2022-07-21,C00203,P009,4,Kakamega,3800,15200,330
ORD00196,2022-05-05,C04219,P001,4,Bungoma,21500,86000,335
ORD00197,2024-04-04,C08959,P004,3,Nyeri,3500,10500,180
ORD00198,2023-11-26,C04390,P002,4,Kakamega,55000,220000,330
ORD00199,2022-08-12,C02328,P006,2,Kakamega,2800,5600,330
ORD00200,2023-05-25,C08005,P004,2,Nyeri,3500,7000,180
ORD00201,2023-01-28,C02932,P009,3,Mombasa,3800,11400,380
ORD00202,2023-01-25,C07778,P003,1,Nyeri,32000,32000,180
ORD00203,2024-07-07,C00198,P001,4,Kisumu,21500,86000,320
ORD00204,2022-10-15,C07126,P011,3,Meru,900,2700,240
ORD00205,2024-05-14,C01931,P011,2,Kisii,900,1800,280
ORD00206,2023-01-11,C06288,P001,1,Kiambu,21500,21500,120
ORD00207,2023-07-25,C08801,P009,4,Kiambu,3800,15200,120
ORD00208,2024-08-05,C09340,P009,1,Nairobi,3800,3800,100
ORD00209,2023-05-27,C04283,P005,1,Machakos,2200,2200,150
ORD00210,2022-06-04,C02512,P002,4,Kisumu,55000,220000,320
ORD00211,2024-06-26,C09987,P009,4,Nakuru,3800,15200,220
ORD00212,2022-07-20,C00660,P008,2,Machakos,6500,13000,150
ORD00213,2022-04-14,C02812,P011,2,Kakamega,900,1800,330
ORD00214,2022-01-31,C07099,P010,1,Kakamega,1200,1200,330
ORD00215,2022-07-11,C06547,P010,1,Nairobi,1200,1200,100
ORD00216,2023-04-30,C09562,P006,2,Nyeri,2800,5600,180
ORD00217,2022-12-07,C01987,P007,2,Kisii,4500,9000,280
ORD00218,2024-04-12,C08339,P006,1,Nyeri,2800,2800,180
ORD00219,2024-09-21,C02912,P005,3,Kisumu,2200,6600,320
ORD00220,2024-09-12,C01735,P004,3,Kericho,3500,10500,290
ORD00221,2023-03-14,C01844,P007,3,Nyeri,4500,13500,180
ORD00222,2024-04-01,C08681,P004,4,Kiambu,3500,14000,120
ORD00223,2022-05-01,C02977,P010,2,Bungoma,1200,2400,335
ORD00224,2022-12-04,C01960,P010,3,Kericho,1200,3600,290
ORD00225,2024-02-16,C05760,P010,3,Meru,1200,3600,240
ORD00226,2022-01-05,C06695,P009,2,Kiambu,3800,7600,120
ORD00227,2024-03-10,C02386,P005,4,Kericho,2200,8800,290
ORD00228,2023-06-28,C04737,P008,3,Machakos,6500,19500,150
ORD00229,2024-07-20,C01803,P006,4,Machakos,2800,11200,150
ORD00230,2023-08-08,C08156,P004,4,Machakos,3500,14000,150
ORD00231,2024-05-16,C08121,P003,1,Meru,32000,32000,240
ORD00232,2024-09-23,C06617,P011,2,Nyeri,900,1800,180
ORD00233,2022-11-14,C05535,P006,1,Kericho,2800,2800,290
ORD00234,2023-01-24,C04062,P001,3,Machakos,21500,64500,150
ORD00235,2023-08-31,C00263,P002,1,Kisii,55000,55000,280
ORD00236,2023-03-22,C06288,P007,2,Mombasa,4500,9000,380
ORD00237,2022-04-30,C08816,P004,4,Machakos,3500,14000,150
ORD00238,2022-05-05,C09209,P005,4,Nairobi,2200,8800,100
ORD00239,2023-10-05,C02050,P011,3,Nairobi,900,2700,100
ORD00240,2022-04-28,C05424,P010,2,Kisii,1200,2400,280
ORD00241,2022-04-13,C04549,P001,4,Kiambu,21500,86000,120
ORD00242,2024-09-03,C03109,P002,3,Kericho,55000,165000,290
ORD00243,2024-10-26,C07159,P004,2,Kericho,3500,7000,290
ORD00244,2024-12-23,C07401,P008,2,Kisumu,6500,13000,320
ORD00245,2022-11-19,C03171,P010,1,Kisumu,1200,1200,320
ORD00246,2022-04-27,C09875,P004,4,Kakamega,3500,14000,330
ORD00247,2024-11-06,C02256,P003,2,Nakuru,32000,64000,220
ORD00248,2022-06-14,C01155,P003,4,Nairobi,32000,128000,100
ORD00249,2023-01-16,C04500,P005,4,Kiambu,2200,8800,120
ORD00250,2022-05-21,C06296,P003,2,Nairobi,32000,64000,100
ORD00251,2022-05-20,C06198,P008,4,Nairobi,6500,26000,100
ORD00252,2023-04-27,C09889,P005,1,Kakamega,2200,2200,330
ORD00253,2024-04-06,C01649,P007,3,Mombasa,4500,13500,380
ORD00254,2022-09-03,C05540,P011,3,Kisii,900,2700,280
ORD00255,2023-05-20,C09638,P008,2,Kericho,6500,13000,290
ORD00256,2022-03-23,C04200,P005,1,Kisii,2200,2200,280
ORD00257,2022-06-17,C08446,P008,3,Bungoma,6500,19500,335
ORD00258,2024-05-08,C02558,P003,1,Bungoma,32000,32000,335
ORD00259,2024-12-06,C05593,P007,2,Kakamega,4500,9000,330
ORD00260,2023-10-10,C00099,P008,1,Nakuru,6500,6500,220
ORD00261,2023-06-19,C02201,P007,2,Kiambu,4500,9000,120
ORD00262,2023-02-23,C02962,P002,3,Kisumu,55000,165000,320
ORD00263,2023-10-06,C04974,P008,3,Bungoma,6500,19500,335
ORD00264,2023-05-04,C04434,P006,3,Mombasa,2800,8400,380
ORD00265,2023-06-28,C02870,P010,3,Nyeri,1200,3600,180
ORD00266,2024-03-21,C00957,P003,4,Bungoma,32000,128000,335
ORD00267,2022-09-26,C08353,P004,1,Mombasa,3500,3500,380
ORD00268,2023-09-07,C05700,P007,1,Mombasa,4500,4500,380
ORD00269,2024-07-25,C06945,P003,1,Nyeri,32000,32000,180
ORD00270,2023-10-10,C04494,P001,2,Nakuru,21500,43000,220
ORD00271,2022-05-29,C09493,P006,3,Kisii,2800,8400,280
ORD00272,2022-01-20,C04912,P003,3,Bungoma,32000,96000,335
ORD00273,2024-07-27,C03988,P011,4,Kericho,900,3600,290
ORD00274,2022-07-24,C09720,P010,4,Bungoma,1200,4800,335
ORD00275,2022-05-31,C06016,P006,3,Bungoma,2800,8400,335
ORD00276,2023-03-13,C01219,P010,1,Kiambu,1200,1200,120
ORD00277,2024-11-02,C04497,P003,1,Nyeri,32000,32000,180
ORD00278,2023-06-28,C04736,P006,3,Kericho,2800,8400,290
ORD00279,2022-09-29,C04556,P011,2,Kisumu,900,1800,320
ORD00280,2023-12-16,C09147,P004,1,Machakos,3500,3500,150
ORD00281,2022-05-21,C08051,P004,3,Nairobi,3500,10500,100
ORD00282,2023-05-16,C03447,P010,3,Nairobi,1200,3600,100
ORD00283,2024-01-27,C01046,P010,4,Bungoma,1200,4800,335
ORD00284,2023-08-07,C06894,P011,4,Kisii,900,3600,280
ORD00285,2022-11-20,C01694,P002,3,Meru,55000,165000,240
ORD00286,2024-06-16,C03437,P004,2,Mombasa,3500,7000,380
ORD00287,2023-09-12,C08755,P011,3,Nyeri,900,2700,180
ORD00288,2024-12-19,C05896,P004,1,Nakuru,3500,3500,220
ORD00289,2022-01-17,C03355,P011,2,Nakuru,900,1800,220
ORD00290,2023-09-06,C00226,P007,2,Bungoma,4500,9000,335
ORD00291,2022-08-01,C04894,P005,4,Mombasa,2200,8800,380
ORD00292,2022-10-03,C07023,P008,3,Kakamega,6500,19500,330
ORD00293,2023-06-26,C09152,P007,4,Kisii,4500,18000,280
ORD00294,2022-08-25,C05601,P010,1,Mombasa,1200,1200,380
ORD00295,2022-08-08,C07997,P009,4,Kisii,3800,15200,280
ORD00296,2022-11-15,C09008,P008,1,Kisumu,6500,6500,320
ORD00297,2023-07-12,C07684,P009,3,Bungoma,3800,11400,335
ORD00298,2023-08-01,C04643,P001,3,Meru,21500,64500,240
ORD00299,2023-03-08,C07680,P010,4,Kisumu,1200,4800,320
ORD00300,2023-12-04,C08209,P003,4,Meru,32000,128000,240
ORD00301,2023-02-21,C07340,P005,4,Kakamega,2200,8800,330
ORD00302,2023-06-25,C09436,P009,1,Bungoma,3800,3800,335
ORD00303,2024-11-01,C02206,P008,2,Meru,6500,13000,240
ORD00304,2024-09-27,C01070,P010,2,Kisumu,1200,2400,320
ORD00305,2023-05-30,C03445,P007,4,Mombasa,4500,18000,380
ORD00306,2022-04-15,C01061,P002,4,Bungoma,55000,220000,335
ORD00307,2022-07-09,C02328,P011,3,Machakos,900,2700,150
ORD00308,2024-05-17,C03421,P006,4,Nakuru,2800,11200,220
ORD00309,2023-07-21,C00302,P004,3,Kiambu,3500,10500,120
ORD00310,2022-04-01,C00607,P005,1,Nakuru,2200,2200,220
ORD00311,2022-01-08,C03171,P005,1,Machakos,2200,2200,150
ORD00312,2023-11-15,C00700,P004,1,Kericho,3500,3500,290
ORD00313,2022-09-25,C05089,P004,1,Nairobi,3500,3500,100
ORD00314,2023-06-21,C09332,P004,4,Kakamega,3500,14000,330
ORD00315,2022-11-27,C00191,P011,4,Kisumu,900,3600,320
ORD00316,2024-06-23,C00981,P002,3,Machakos,55000,165000,150
ORD00317,2024-05-25,C02976,P001,4,Nyeri,21500,86000,180
ORD00318,2022-01-20,C06103,P002,3,Nyeri,55000,165000,180
ORD00319,2022-08-18,C01185,P007,1,Nairobi,4500,4500,100
ORD00320,2022-06-04,C03328,P001,3,Kisumu,21500,64500,320
ORD00321,2022-11-02,C03395,P006,3,Kiambu,2800,8400,120
ORD00322,2022-03-15,C08320,P004,4,Kisii,3500,14000,280
ORD00323,2024-01-27,C01817,P002,1,Mombasa,55000,55000,380
ORD00324,2022-10-31,C05855,P003,2,Mombasa,32000,64000,380
ORD00325,2024-05-30,C06710,P007,4,Kakamega,4500,18000,330
ORD00326,2022-09-19,C00570,P006,4,Machakos,2800,11200,150
ORD00327,2022-03-27,C05443,P006,2,Nakuru,2800,5600,220
ORD00328,2023-09-24,C01896,P008,1,Kisumu,6500,6500,320
ORD00329,2024-01-17,C02734,P008,2,Nyeri,6500,13000,180
ORD00330,2022-03-23,C03864,P006,3,Mombasa,2800,8400,380
ORD00331,2024-01-03,C07456,P001,2,Nakuru,21500,43000,220
ORD00332,2023-03-07,C04015,P010,1,Nairobi,1200,1200,100
ORD00333,2023-05-27,C01687,P007,1,Kisii,4500,4500,280
ORD00334,2022-07-30,C03010,P008,2,Kisii,6500,13000,280
ORD00335,2023-12-26,C07807,P005,4,Kisumu,2200,8800,320
ORD00336,2024-04-12,C00155,P011,2,Meru,900,1800,240
ORD00337,2022-11-13,C01410,P004,3,Kisumu,3500,10500,320
ORD00338,2023-04-30,C00785,P007,2,Kericho,4500,9000,290
ORD00339,2022-11-29,C08097,P011,2,Mombasa,900,1800,380
ORD00340,2022-12-29,C07561,P006,2,Mombasa,2800,5600,380
ORD00341,2024-04-24,C07344,P006,3,Machakos,2800,8400,150
ORD00342,2022-02-20,C07207,P003,2,Mombasa,32000,64000,380
ORD00343,2023-01-03,C05597,P011,4,Mombasa,900,3600,380
ORD00344,2023-11-12,C05802,P010,3,Nakuru,1200,3600,220
ORD00345,2024-04-23,C02807,P004,4,Meru,3500,14000,240
ORD00346,2023-05-24,C00538,P005,3,Nyeri,2200,6600,180
ORD00347,2023-07-01,C05987,P009,1,Nyeri,3800,3800,180
ORD00348,2022-11-23,C01842,P008,1,Kericho,6500,6500,290
ORD00349,2022-08-10,C08717,P003,3,Kisii,32000,96000,280
ORD00350,2024-02-23,C06972,P006,3,Nyeri,2800,8400,180
ORD00351,2022-03-21,C05626,P010,3,Mombasa,1200,3600,380
ORD00352,2024-08-21,C02951,P001,1,Meru,21500,21500,240
ORD00353,2023-04-01,C07993,P003,3,Nakuru,32000,96000,220
ORD00354,2023-02-13,C04781,P010,1,Meru,1200,1200,240
ORD00355,2024-07-31,C02369,P007,1,Nyeri,4500,4500,180
ORD00356,2023-12-18,C06656,P007,3,Bungoma,4500,13500,335
ORD00357,2023-09-18,C08174,P002,3,Meru,55000,165000,240
ORD00358,2023-04-12,C04496,P003,3,Mombasa,32000,96000,380
ORD00359,2023-04-02,C09164,P007,1,Machakos,4500,4500,150
ORD00360,2022-02-18,C06003,P006,2,Machakos,2800,5600,150
ORD00361,2023-01-31,C06615,P007,3,Nyeri,4500,13500,180
ORD00362,2024-03-27,C09359,P010,2,Machakos,1200,2400,150
ORD00363,2023-11-04,C05920,P009,2,Bungoma,3800,7600,335
ORD00364,2023-07-25,C00854,P008,2,Bungoma,6500,13000,335
ORD00365,2022-05-23,C04147,P006,4,Machakos,2800,11200,150
ORD00366,2023-07-26,C03770,P004,2,Kisumu,3500,7000,320
ORD00367,2023-12-21,C00575,P010,2,Nakuru,1200,2400,220
ORD00368,2024-11-09,C01149,P009,1,Machakos,3800,3800,150
ORD00369,2024-03-29,C06294,P007,4,Nakuru,4500,18000,220
ORD00370,2023-11-10,C06458,P005,1,Machakos,2200,2200,150
ORD00371,2022-02-26,C07510,P002,1,Mombasa,55000,55000,380
ORD00372,2022-08-25,C09908,P009,2,Meru,3800,7600,240
ORD00373,2023-06-19,C04778,P007,1,Kisii,4500,4500,280
ORD00374,2023-01-01,C03855,P009,3,Mombasa,3800,11400,380
ORD00375,2023-06-28,C02492,P011,2,Machakos,900,1800,150
ORD00376,2022-03-20,C03125,P009,3,Kericho,3800,11400,290
ORD00377,2022-08-11,C05692,P010,2,Nairobi,1200,2400,100
ORD00378,2024-06-08,C03052,P005,2,Kericho,2200,4400,290
ORD00379,2023-12-09,C00005,P007,2,Bungoma,4500,9000,335
ORD00380,2023-10-05,C05223,P005,4,Nairobi,2200,8800,100
ORD00381,2024-06-12,C05316,P003,2,Kisii,32000,64000,280
ORD00382,2024-11-13,C04870,P010,3,Kisumu,1200,3600,320
ORD00383,2022-08-25,C00877,P008,2,Machakos,6500,13000,150
ORD00384,2024-02-28,C09184,P008,2,Nakuru,6500,13000,220
ORD00385,2023-01-25,C07028,P009,1,Nairobi,3800,3800,100
ORD00386,2023-06-06,C04143,P011,2,Nyeri,900,1800,180
ORD00387,2022-04-01,C06967,P006,2,Meru,2800,5600,240
ORD00388,2024-06-12,C07080,P002,2,Nairobi,55000,110000,100
ORD00389,2022-01-04,C07988,P003,2,Bungoma,32000,64000,335
ORD00390,2024-11-30,C06800,P011,2,Meru,900,1800,240
