CustomerID,Gender,AgeGroup,Region,County,SignupChannel,FirstPurchaseDate
C00039,Female,36–45,Eastern,Meru,Website,2023-09-30
C00040,Male,46+,Western,Kakamega,Website,2022-06-14
C00041,Male,26–35,Rift Valley,Eldoret,Referral,2024-01-28
C00042,Male,26–35,Rift Valley,Eldoret,Website,2023-09-13
C00043,Female,26–35,Western,Kakamega,Website,2022-02-20
C00044,Female,18–25,Rift Valley,Nakuru,Website,2023-05-04
C00045,Male,26–35,Coast,Mombasa,Referral,2022-07-17
C00046,Male,18–25,Eastern,Machakos,App,2024-11-12
C00047,Male,46+,Western,Bungoma,Referral,2023-10-27
C00048,Female,26–35,Eastern,Machakos,App,2023-10-25
C00049,Male,26–35,Nairobi,Nairobi,Website,2022-09-23
C00050,Female,36–45,Coast,Mombasa,Referral,2022-03-14
C00051,Female,46+,Nyanza,Kisii,Referral,2022-03-18
C00052,Male,26–35,Coast,Mombasa,App,2023-06-28
C00053,Male,18–25,Western,Bungoma,Referral,2024-05-30
C00054,Female,46+,Nyanza,Kisii,Referral,2023-03-11
C00055,Male,36–45,Nairobi,Nairobi,Social Media,2024-12-24
C00056,Male,46+,Western,Bungoma,App,2022-12-23
C00057,Female,18–25,Central,Nyeri,Referral,2024-07-24
C00058,Female,36–45,Eastern,Machakos,Referral,2022-01-18
C00059,Female,18–25,Nairobi,Nairobi,Website,2023-11-07
C00060,Female,46+,Eastern,Machakos,Social Media,2023-07-29
C00061,Female,36–45,Rift Valley,Nakuru,Social Media,2024-01-21
C00062,Male,18–25,Central,Kiambu,Website,2024-09-22
C00063,Female,46+,Central,Kiambu,Website,2024-10-29
C00064,Female,18–25,Nairobi,Nairobi,Website,2023-09-24
C00065,Female,26–35,Central,Nyeri,Website,2023-01-07
C00066,Male,46+,Nyanza,Kisii,Social Media,2024-08-27
C00067,Female,36–45,Central,Kiambu,Referral,2022-12-19
C00068,Female,36–45,Eastern,Meru,Referral,2022-08-12
C00069,Female,26–35,Eastern,Machakos,Website,2024-08-11
C00070,Male,18–25,Western,Kakamega,App,2023-01-03
C00071,Female,18–25,Eastern,Machakos,Website,2023-10-18
C00072,Female,36–45,Western,Bungoma,Referral,2023-03-09
C00073,Female,18–25,Eastern,Meru,App,2023-05-24
C00074,Male,46+,Nyanza,Kisii,Website,2023-05-23
C00075,Male,46+,Western,Kakamega,App,2023-09-09
C00076,Male,36–45,Coast,Mombasa,Website,2023-02-24
C00077,Male,46+,Rift Valley,Eldoret,Social Media,2022-03-15
C00078,Female,36–45,Nairobi,Nairobi,Referral,2023-07-28
C00079,Female,18–25,Eastern,Meru,Website,2022-05-26
C00080,Male,18–25,Central,Nyeri,App,2022-02-15
C00081,Male,18–25,Eastern,Meru,Referral,2022-05-01
C00082,Female,26–35,Central,Kiambu,Website,2024-12-02
C00083,Female,36–45,Rift Valley,Eldoret,Website,2022-04-09
C00084,Male,46+,Rift Valley,Nakuru,Website,2023-12-07
C00085,Male,18–25,Rift Valley,Nakuru,Website,2022-11-07
C00086,Male,26–35,Central,Nyeri,Social Media,2023-02-27
C00087,Male,46+,Eastern,Meru,Referral,2022-09-29
C00088,Female,46+,Rift Valley,Eldoret,Social Media,2024-04-04
C00089,Male,46+,Nyanza,Kisii,Referral,2022-07-29
C00090,Male,18–25,Western,Kakamega,Website,2024-01-09
C00091,Female,46+,Central,Kiambu,Referral,2024-03-03
C00092,Female,36–45,Central,Nyeri,App,2024-11-11
C00093,Female,26–35,Eastern,Machakos,Referral,2024-01-30
C00094,Female,46+,Central,Kiambu,App,2022-06-08
C00095,Female,46+,Central,Kiambu,App,2024-01-11
C00096,Male,36–45,Rift Valley,Nakuru,Social Media,2022-12-09
C00097,Male,46+,Eastern,Machakos,Referral,2023-11-30
C00098,Male,18–25,Rift Valley,Eldoret,Website,2023-02-01
C00099,Female,18–25,Western,Kakamega,Referral,2023-06-20
C00100,Male,18–25,Western,Bungoma,Social Media,2022-05-21
C00101,Female,46+,Rift Valley,Eldoret,App,2024-08-18
C00102,Male,26–35,Western,Bungoma,App,2022-08-28
C00103,Male,26–35,Eastern,Meru,Social Media,2022-10-19
C00104,Female,46+,Nairobi,Nairobi,Social Media,2024-03-27
C00105,Female,26–35,Rift Valley,Nakuru,Referral,2022-03-23
C00106,Male,26–35,Nyanza,Kisii,App,2023-07-14
C00107,Male,46+,Nyanza,Kisii,Social Media,2024-05-19
C00108,Male,18–25,Central,Kiambu,Referral,2022-06-20
C00109,Male,46+,Western,Bungoma,Referral,2024-09-03
C00110,Male,18–25,Nyanza,Kisii,Website,2023-08-03
C00111,Female,18–25,Central,Kiambu,App,2023-06-10
C00112,Female,26–35,Nairobi,Nairobi,Referral,2023-06-26
C00113,Female,26–35,Eastern,Machakos,Social Media,2022-04-20
C00114,Female,18–25,Eastern,Meru,App,2022-11-18
C00115,Male,18–25,Eastern,Machakos,Social Media,2024-06-18
C00116,Male,26–35,Nyanza,Kisumu,Social Media,2023-12-15
C00117,Female,36–45,Nairobi,Nairobi,Referral,2022-03-25
C00118,Male,18–25,Nyanza,Kisumu,Referral,2024-08-13
C00119,Female,18–25,Western,Kakamega,Website,2023-01-11
C00120,Male,18–25,Nyanza,Kisii,Social Media,2024-12-12
C00121,Male,26–35,Nairobi,Nairobi,Referral,2023-08-09
C00122,Male,46+,Nairobi,Nairobi,Website,2022-04-10
C00123,Female,18–25,Western,Bungoma,App,2022-05-09
C00124,Female,18–25,Nairobi,Nairobi,Website,2024-07-06
C00125,Female,18–25,Nairobi,Nairobi,Website,2022-08-07
C00126,Female,46+,Eastern,Machakos,Social Media,2023-04-22
C00127,Male,46+,Western,Bungoma,App,2022-01-22
C00128,Male,18–25,Coast,Mombasa,Social Media,2023-07-14
C00129,Male,18–25,Coast,Mombasa,Social Media,2023-09-21
C00130,Male,36–45,Nairobi,Nairobi,Website,2024-10-15
C00131,Female,46+,Coast,Mombasa,Website,2022-12-05
C00132,Male,36–45,Coast,Mombasa,Referral,2022-06-28
C00133,Male,18–25,Nairobi,Nairobi,Website,2023-02-25
C00134,Male,18–25,Coast,Mombasa,Referral,2024-10-03
C00135,Female,18–25,Nyanza,Kisumu,Social Media,2022-02-18
C00136,Female,18–25,Central,Kiambu,Website,2024-02-06
C00137,Female,26–35,Western,Kakamega,App,2022-01-30
C00138,Male,26–35,Central,Nyeri,App,2022-03-26
C00139,Female,26–35,Nairobi,Nairobi,Social Media,2024-02-28
C00140,Male,36–45,Eastern,Meru,Social Media,2022-11-25
C00141,Male,46+,Western,Bungoma,Website,2023-09-02
C00142,Male,18–25,Nairobi,Nairobi,Referral,2023-03-10
C00143,Female,46+,Eastern,Machakos,Website,2023-08-11
C00144,Female,26–35,Central,Nyeri,Referral,2023-11-21
C00145,Male,18–25,Nairobi,Nairobi,Website,2023-03-01
C00146,Male,18–25,Western,Bungoma,App,2024-02-09
C00147,Female,36–45,Western,Bungoma,App,2023-05-27
C00148,Female,46+,Rift Valley,Eldoret,Referral,2024-10-08
C00149,Female,36–45,Nyanza,Kisumu,Website,2023-07-18
C00150,Male,26–35,Coast,Mombasa,Social Media,2022-10-30
C00151,Male,46+,Eastern,Machakos,Referral,2022-04-09
C00152,Male,26–35,Rift Valley,Nakuru,App,2023-07-11
C00153,Female,36–45,Coast,Mombasa,Referral,2022-02-11
C00154,Female,36–45,Coast,Mombasa,Website,2024-09-17
C00155,Female,18–25,Nairobi,Nairobi,Social Media,2023-04-13
C00156,Male,46+,Coast,Mombasa,Social Media,2023-03-16
C00157,Male,46+,Nyanza,Kisumu,Referral,2022-11-23
C00158,Female,18–25,Western,Kakamega,Website,2023-07-23
C00159,Male,46+,Rift Valley,Nakuru,Website,2022-02-02
C00160,Female,26–35,Coast,Mombasa,Social Media,2023-02-16
C00161,Male,26–35,Nairobi,Nairobi,App,2024-03-22
C00162,Female,36–45,Nyanza,Kisumu,Website,2023-05-23
C00163,Male,26–35,Central,Nyeri,Social Media,2022-02-25
C00164,Male,46+,Western,Kakamega,Social Media,2023-06-30
C00165,Female,18–25,Western,Kakamega,Website,2022-07-15
C00166,Female,36–45,Rift Valley,Eldoret,Website,2023-02-17
C00167,Female,18–25,Western,Bungoma,Referral,2023-09-29
C00168,Female,36–45,Coast,Mombasa,App,2024-01-12
C00169,Female,36–45,Nairobi,Nairobi,Referral,2022-05-17
C00170,Male,18–25,Western,Bungoma,Referral,2023-06-23
C00171,Female,26–35,Western,Kakamega,Social Media,2023-11-20
C00172,Female,26–35,Central,Nyeri,Social Media,2023-12-20
C00173,Female,26–35,Central,Nyeri,App,2024-07-21
C00174,Male,26–35,Eastern,Machakos,Referral,2022-11-02
C00175,Female,18–25,Nyanza,Kisumu,Referral,2023-01-23
C00176,Female,46+,Coast,Mombasa,Social Media,2023-12-26
C00177,Female,36–45,Western,Bungoma,Social Media,2024-07-03
C00178,Male,18–25,Western,Bungoma,Website,2023-07-03
C00179,Male,26–35,Nairobi,Nairobi,Referral,2023-05-21
C00180,Female,26–35,Eastern,Meru,App,2023-01-23
C00181,Male,18–25,Nyanza,Kisii,Referral,2022-10-20
C00182,Female,36–45,Eastern,Machakos,Social Media,2022-06-28
C00183,Male,18–25,Rift Valley,Nakuru,Website,2023-11-03
C00184,Female,18–25,Nyanza,Kisumu,Referral,2022-03-21
C00185,Male,46+,Western,Bungoma,App,2024-11-03
C00186,Female,18–25,Western,Bungoma,Social Media,2024-12-13
C00187,Female,46+,Nyanza,Kisumu,Website,2023-03-23
C00188,Male,36–45,Western,Kakamega,Referral,2024-02-05
C00189,Female,18–25,Coast,Mombasa,App,2024-12-24
C00190,Female,18–25,Nyanza,Kisumu,Social Media,2023-05-18
C00191,Female,26–35,Eastern,Meru,App,2023-07-24
C00192,Female,18–25,Nyanza,Kisumu,Referral,2022-04-06
C00193,Male,26–35,Western,Bungoma,Social Media,2023-08-08
C00194,Female,26–35,Coast,Mombasa,Referral,2022-09-05
C00195,Male,26–35,Coast,Mombasa,Website,2022-05-07
C00196,Male,36–45,Rift Valley,Eldoret,Referral,2023-05-14
C00197,Male,46+,Eastern,Machakos,Website,2022-02-15
C00198,Male,26–35,Central,Kiambu,Referral,2024-09-08
C00199,Female,18–25,Central,Nyeri,App,2022-09-25
C00200,Female,18–25,Nyanza,Kisumu,App,2022-04-04
C00201,Male,26–35,Rift Valley,Nakuru,Social Media,2024-01-06
C00202,Female,26–35,Nairobi,Nairobi,App,2023-09-04
C00203,Male,18–25,Nyanza,Kisumu,App,2022-03-12
C00204,Female,26–35,Rift Valley,Nakuru,Website,2023-08-16
C00205,Female,46+,Eastern,Machakos,App,2023-03-25
C00206,Female,46+,Eastern,Meru,Website,2023-09-12
C00207,Male,36–45,Eastern,Meru,Website,2023-09-06
C00208,Male,26–35,Eastern,Meru,Website,2022-04-01
C00209,Female,36–45,Eastern,Machakos,Referral,2024-05-26
C00210,Male,36–45,Rift Valley,Eldoret,Website,2023-06-12
C00211,Male,36–45,Rift Valley,Nakuru,Referral,2024-02-14
C00212,Female,26–35,Coast,Mombasa,Website,2023-11-03
C00213,Male,36–45,Central,Nyeri,Referral,2024-02-04
C00214,Female,46+,Western,Kakamega,Social Media,2022-12-27
C00215,Female,36–45,Eastern,Meru,Social Media,2023-01-13
C00216,Female,46+,Nairobi,Nairobi,Referral,2022-12-11
C00217,Male,46+,Western,Bungoma,Social Media,2024-03-08
C00218,Female,26–35,Rift Valley,Eldoret,App,2023-03-31
C00219,Female,36–45,Nairobi,Nairobi,Website,2024-06-26
C00220,Male,26–35,Nairobi,Nairobi,Referral,2022-03-08
C00221,Male,46+,Nairobi,Nairobi,Social Media,2024-09-13
C00222,Male,18–25,Coast,Mombasa,Social Media,2024-09-05
C00223,Male,36–45,Rift Valley,Eldoret,App,2022-02-12
C00224,Female,26–35,Nairobi,Nairobi,Website,2022-08-17
C00225,Male,18–25,Eastern,Machakos,App,2022-08-22
C00226,Male,36–45,Nyanza,Kisumu,Referral,2023-05-12
C00227,Male,36–45,Nairobi,Nairobi,Social Media,2024-04-27
C00228,Male,26–35,Coast,Mombasa,Social Media,2024-11-21
C00229,Female,18–25,Western,Kakamega,Social Media,2022-04-23
C00230,Male,26–35,Rift Valley,Eldoret,App,2024-08-30
C00231,Female,36–45,Coast,Mombasa,App,2023-04-04
C00232,Male,36–45,Nairobi,Nairobi,Website,2022-01-06
C00233,Female,46+,Rift Valley,Nakuru,Referral,2024-09-18
C00234,Female,36–45,Nyanza,Kisumu,Website,2023-05-09
C00235,Male,36–45,Nairobi,Nairobi,Website,2022-03-12
C00236,Female,18–25,Coast,Mombasa,Social Media,2024-07-27
C00237,Male,18–25,Central,Kiambu,App,2023-11-05
C00238,Female,46+,Eastern,Meru,Referral,2024-11-22
C00239,Female,46+,Western,Kakamega,Website,2022-05-23
C00240,Female,46+,Coast,Mombasa,Referral,2024-01-06
C00241,Male,26–35,Rift Valley,Nakuru,Social Media,2023-12-27
C00242,Female,26–35,Nairobi,Nairobi,Website,2022-08-05
C00243,Male,46+,Eastern,Meru,App,2023-03-10
C00244,Female,26–35,Nairobi,Nairobi,Website,2024-04-13
C00245,Female,36–45,Rift Valley,Eldoret,Social Media,2024-12-13
C00246,Female,46+,Nairobi,Nairobi,Website,2023-12-21
C00247,Female,46+,Central,Nyeri,Social Media,2024-07-30
C00248,Female,26–35,Eastern,Machakos,Website,2024-06-25
C00249,Female,18–25,Eastern,Meru,Referral,2024-09-21
C00250,Male,46+,Rift Valley,Eldoret,App,2022-02-24
C00251,Male,26–35,Western,Kakamega,Social Media,2024-11-24
C00252,Male,26–35,Central,Nyeri,Referral,2024-05-10
C00253,Female,18–25,Coast,Mombasa,Social Media,2024-10-03
C00254,Male,46+,Nairobi,Nairobi,Website,2023-07-20
C00255,Female,18–25,Nyanza,Kisumu,Social Media,2024-02-10
C00256,Male,36–45,Nairobi,Nairobi,Social Media,2024-05-27
C00257,Male,18–25,Nairobi,Nairobi,App,2024-04-03
C00258,Female,18–25,Coast,Mombasa,Referral,2023-05-29
C00259,Female,26–35,Nairobi,Nairobi,Website,2024-05-11
C00260,Male,18–25,Central,Kiambu,App,2023-02-26
C00261,Male,36–45,Central,Nyeri,Social Media,2023-06-01
C00262,Male,26–35,Eastern,Machakos,App,2023-12-06
C00263,Male,36–45,Rift Valley,Eldoret,Social Media,2024-03-19
C00264,Female,18–25,Western,Kakamega,Website,2022-02-13
C00265,Male,36–45,Nyanza,Kisumu,Social Media,2024-05-07
C00266,Female,36–45,Nairobi,Nairobi,App,2024-03-11
C00267,Female,18–25,Nairobi,Nairobi,App,2022-08-07
C00268,Male,18–25,Coast,Mombasa,Social Media,2023-07-22
C00269,Female,26–35,Rift Valley,Eldoret,Referral,2024-06-26
C00270,Male,26–35,Central,Nyeri,App,2022-09-15
C00271,Female,46+,Nyanza,Kisumu,Referral,2024-08-18
C00272,Female,26–35,Eastern,Meru,Referral,2024-06-11
C00273,Male,18–25,Central,Kiambu,Referral,2022-10-16
C00274,Female,36–45,Rift Valley,Nakuru,Referral,2024-08-29
C00275,Female,36–45,Western,Bungoma,App,2022-04-13
C00276,Male,26–35,Eastern,Machakos,App,2024-03-14
C00277,Female,26–35,Western,Kakamega,Referral,2024-11-15
C00278,Female,18–25,Coast,Mombasa,App,2022-10-29
C00279,Male,36–45,Coast,Mombasa,Referral,2024-12-14
C00280,Male,46+,Nairobi,Nairobi,Referral,2022-02-25
C00281,Female,46+,Western,Kakamega,Referral,2024-10-11
C00282,Female,26–35,Rift Valley,Eldoret,Social Media,2023-01-09
C00283,Female,46+,Nyanza,Kisumu,Website,2024-04-10
C00284,Male,18–25,Eastern,Meru,App,2024-07-08
C00285,Female,46+,Central,Nyeri,App,2023-04-02
C00286,Female,26–35,Rift Valley,Eldoret,Referral,2022-05-12
C00287,Female,18–25,Rift Valley,Nakuru,Social Media,2023-05-08
C00288,Female,36–45,Coast,Mombasa,Social Media,2022-04-20
C00289,Female,18–25,Western,Bungoma,App,2023-08-05
C00290,Female,26–35,Nairobi,Nairobi,Referral,2024-03-06
C00291,Male,26–35,Nairobi,Nairobi,App,2024-03-20
C00292,Male,46+,Eastern,Machakos,Referral,2024-06-04
C00293,Female,46+,Coast,Mombasa,Referral,2024-02-12
C00294,Female,36–45,Rift Valley,Nakuru,Website,2024-07-25
C00295,Male,36–45,Nyanza,Kisii,Referral,2023-07-27
C00296,Male,26–35,Coast,Mombasa,Website,2024-03-19
C00297,Male,26–35,Eastern,Meru,App,2024-05-28
C00298,Female,26–35,Eastern,Meru,App,2024-10-29
C00299,Female,36–45,Coast,Mombasa,Social Media,2023-02-17
C00300,Female,26–35,Eastern,Machakos,Website,2024-04-09
C00301,Female,36–45,Coast,Mombasa,App,2023-07-20
C00302,Male,26–35,Central,Kiambu,Website,2022-04-14
C00303,Male,18–25,Coast,Mombasa,App,2023-11-08
C00304,Male,18–25,Western,Bungoma,Website,2024-08-02
C00305,Male,26–35,Coast,Mombasa,Website,2022-09-27
C00306,Female,18–25,Eastern,Meru,Referral,2023-04-11
C00307,Female,36–45,Western,Kakamega,App,2024-03-11
C00308,Male,46+,Eastern,Machakos,Social Media,2024-10-01
C00309,Male,18–25,Nairobi,Nairobi,Referral,2022-08-22
C00310,Male,46+,Nairobi,Nairobi,Social Media,2024-07-01
C00311,Male,18–25,Western,Kakamega,Website,2024-11-21
C00312,Male,36–45,Central,Nyeri,Referral,2022-12-23
C00313,Female,18–25,Nairobi,Nairobi,Website,2024-08-21
C00314,Female,18–25,Coast,Mombasa,App,2022-04-04
C00315,Male,26–35,Eastern,Machakos,App,2022-09-01
C00316,Male,46+,Nairobi,Nairobi,Social Media,2022-02-27
C00317,Male,46+,Nairobi,Nairobi,App,2024-08-22
C00318,Female,36–45,Central,Kiambu,Social Media,2022-11-16
C00319,Female,36–45,Western,Kakamega,Website,2024-11-08
C00320,Female,46+,Western,Kakamega,Referral,2022-12-23
C00321,Male,26–35,Rift Valley,Nakuru,App,2022-04-27
C00322,Female,26–35,Central,Nyeri,Website,2022-10-23
C00323,Male,46+,Coast,Mombasa,Referral,2023-06-09
C00324,Female,18–25,Western,Kakamega,Website,2023-02-05
C00325,Female,46+,Eastern,Meru,Social Media,2024-01-09
C00326,Female,18–25,Central,Nyeri,Website,2023-06-13
C00327,Male,46+,Nairobi,Nairobi,Social Media,2023-07-11
C00328,Male,18–25,Eastern,Meru,Social Media,2023-07-04
C00329,Female,26–35,Eastern,Machakos,App,2022-12-26
C00330,Male,46+,Nairobi,Nairobi,Social Media,2022-03-05
C00331,Male,36–45,Central,Nyeri,Social Media,2024-02-04
C00332,Male,18–25,Nairobi,Nairobi,Website,2024-02-13
C00333,Male,26–35,Rift Valley,Eldoret,Social Media,2023-09-16
C00334,Male,36–45,Eastern,Machakos,Social Media,2022-04-12
C00335,Male,26–35,Nyanza,Kisumu,Website,2023-07-15
C00336,Male,18–25,Nyanza,Kisii,Referral,2024-11-12
C00337,Female,46+,Coast,Mombasa,App,2024-04-23
C00338,Male,26–35,Western,Bungoma,Website,2024-12-23
C00339,Male,46+,Nairobi,Nairobi,Social Media,2024-04-18
C00340,Female,46+,Nairobi,Nairobi,Website,2023-11-12
C00341,Female,26–35,Coast,Mombasa,Referral,2023-10-07
C00342,Female,26–35,Coast,Mombasa,Website,2023-02-03
C00343,Female,26–35,Coast,Mombasa,Website,2023-02-09
C00344,Male,46+,Eastern,Meru,Website,2024-04-05
C00345,Female,36–45,Rift Valley,Eldoret,Website,2023-10-09
C00346,Female,18–25,Nairobi,Nairobi,Social Media,2022-02-04
C00347,Male,36–45,Eastern,Meru,Website,2023-02-24
C00348,Male,46+,Coast,Mombasa,Referral,2023-01-12
C00349,Male,26–35,Nairobi,Nairobi,Website,2022-08-08
C00350,Female,26–35,Eastern,Meru,Website,2023-11-28
C00351,Male,18–25,Rift Valley,Nakuru,Social Media,2022-12-08
C00352,Female,18–25,Eastern,Machakos,Social Media,2024-01-23
C00353,Male,36–45,Rift Valley,Eldoret,Website,2023-02-20
C00354,Male,36–45,Coast,Mombasa,Social Media,2024-07-26
C00355,Female,18–25,Rift Valley,Eldoret,Social Media,2024-10-03
C00356,Male,46+,Nairobi,Nairobi,Website,2023-11-11
C00357,Male,36–45,Coast,Mombasa,Social Media,2024-01-18
C00358,Male,26–35,Nairobi,Nairobi,App,2024-03-16
C00359,Male,26–35,Nyanza,Kisii,App,2022-11-08
C00360,Male,46+,Central,Nyeri,App,2022-02-24
C00361,Female,18–25,Rift Valley,Eldoret,Social Media,2023-11-25
C00362,Female,36–45,Central,Kiambu,App,2023-06-18
C00363,Male,26–35,Central,Nyeri,Referral,2022-04-15
C00364,Female,18–25,Rift Valley,Nakuru,App,2022-10-21
C00365,Female,36–45,Coast,Mombasa,Referral,2024-05-29
C00366,Female,46+,Nyanza,Kisumu,Social Media,2023-07-05
C00367,Male,26–35,Nairobi,Nairobi,App,2024-06-29
C00368,Male,46+,Eastern,Machakos,Referral,2023-01-10
C00369,Male,46+,Nairobi,Nairobi,Social Media,2023-03-26
C00370,Female,46+,Eastern,Meru,App,2024-12-19
C00371,Female,36–45,Nairobi,Nairobi,Website,2024-03-22
C00372,Male,46+,Rift Valley,Nakuru,App,2023-01-25
C00373,Male,36–45,Nyanza,Kisii,App,2023-10-29
C00374,Female,36–45,Eastern,Meru,App,2022-05-21
C00375,Female,46+,Western,Kakamega,Website,2024-05-23
C00376,Male,46+,Coast,Mombasa,Referral,2024-04-22
C00377,Female,18–25,Nairobi,Nairobi,Referral,2023-08-20
C00378,Female,26–35,Nairobi,Nairobi,Website,2024-08-09
C00379,Female,18–25,Eastern,Meru,App,2023-07-06
C00380,Female,26–35,Coast,Mombasa,App,2023-01-08
C00381,Female,26–35,Coast,Mombasa,App,2023-10-10
C00382,Female,18–25,Rift Valley,Nakuru,Referral,2022-11-29
C00383,Female,18–25,Western,Kakamega,Referral,2023-01-28
C00384,Male,26–35,Rift Valley,Eldoret,Website,2023-01-30
C00385,Male,26–35,Rift Valley,Eldoret,Social Media,2022-02-04
C00386,Female,26–35,Rift Valley,Nakuru,Website,2022-06-06
C00387,Female,36–45,Rift Valley,Eldoret,Referral,2024-06-22
C00388,Female,26–35,Rift Valley,Eldoret,App,2024-08-24
C00389,Male,46+,Nyanza,Kisumu,App,2023-01-31
C00390,Male,46+,Coast,Mombasa,App,2022-07-26
C00391,Female,46+,Rift Valley,Eldoret,App,2023-09-13
C00392,Male,18–25,Coast,Mombasa,Social Media,2024-03-15
C00393,Female,18–25,Coast,Mombasa,Website,2023-04-07
C00394,Female,18–25,Central,Nyeri,Website,2022-09-09
C00395,Female,26–35,Nyanza,Kisii,Referral,2024-05-16
C00396,Female,46+,Rift Valley,Eldoret,Website,2022-07-28
C00397,Female,26–35,Nairobi,Nairobi,Social Media,2024-08-12
C00398,Female,36–45,Eastern,Machakos,Social Media,2023-06-23
C00399,Female,36–45,Western,Bungoma,Social Media,2024-04-14
C00400,Male,18–25,Nairobi,Nairobi,App,2023-05-18
C00401,Female,36–45,Nyanza,Kisumu,Referral,2024-08-13
C00402,Male,46+,Eastern,Meru,Social Media,2023-05-29
C00403,Female,36–45,Nyanza,Kisii,Website,2023-08-03
C00404,Female,18–25,Coast,Mombasa,Website,2024-04-19
C00405,Male,26–35,Eastern,Machakos,Website,2024-09-12
C00406,Male,36–45,Coast,Mombasa,Social Media,2022-03-24
C00407,Female,46+,Nairobi,Nairobi,Social Media,2024-12-01
C00408,Male,46+,Nairobi,Nairobi,Website,2022-06-05
C00409,Female,46+,Eastern,Machakos,Social Media,2023-03-29
C00410,Female,26–35,Eastern,Machakos,Website,2023-09-09
C00411,Male,46+,Rift Valley,Nakuru,App,2023-09-16
C00412,Male,18–25,Nyanza,Kisumu,Social Media,2023-05-22
C00413,Male,18–25,Rift Valley,Eldoret,App,2023-09-14
C00414,Male,46+,Nyanza,Kisumu,App,2022-10-20
C00415,Female,36–45,Rift Valley,Eldoret,Social Media,2023-10-17
C00416,Male,46+,Coast,Mombasa,Website,2024-07-25
C00417,Male,18–25,Eastern,Machakos,Referral,2024-01-27
C00418,Male,18–25,Nairobi,Nairobi,App,2024-09-22
C00419,Male,18–25,Nyanza,Kisii,Social Media,2023-10-29
C00420,Male,36–45,Nyanza,Kisii,App,2022-03-01
C00421,Female,36–45,Nairobi,Nairobi,Website,2022-11-23
C00422,Female,36–45,Rift Valley,Nakuru,Social Media,2024-03-09
C00423,Male,18–25,Nyanza,Kisumu,Referral,2024-02-24
C00424,Male,26–35,Western,Kakamega,Social Media,2024-02-06
C00425,Female,46+,Coast,Mombasa,App,2023-06-03
C00426,Male,46+,Eastern,Machakos,Social Media,2023-09-30
C00427,Female,18–25,Nairobi,Nairobi,Social Media,2022-03-24
C00428,Female,36–45,Eastern,Meru,App,2022-01-28
C00429,Male,26–35,Western,Kakamega,Referral,2022-09-23
C00430,Female,26–35,Nyanza,Kisumu,Website,2023-02-01
C00431,Male,36–45,Nyanza,Kisumu,Social Media,2024-08-19
C00432,Male,46+,Western,Bungoma,Referral,2024-02-02
C00433,Female,46+,Nairobi,Nairobi,Website,2024-09-06
C00434,Female,26–35,Coast,Mombasa,App,2024-03-21
C00435,Male,26–35,Central,Nyeri,Referral,2023-08-04
C00436,Female,36–45,Nairobi,Nairobi,Referral,2023-09-03
